"COUNT","Crash ID","DrvPassOthr","Road User Sex","Road User Age","Road User Injury","Road User Role","Road User Driver at Fault","Road User Ethnicity"
1,201000112,Passenger,Female, 17,Serious,1,"1 veh, no dvr fault",Unknown
1,201000112,Passenger,Male, 15,Serious,1,"1 veh, no dvr fault",Unknown
3,201000112,Passenger,Male, 16,Serious,1,"1 veh, no dvr fault",Unknown
1,201000112,Passenger,Male, 17,Fatal,1,"1 veh, no dvr fault",Unknown
1,201000112,Passenger,Male, 17,Serious,1,"1 veh, no dvr fault",Unknown
1,201000112,Passenger,Male, 21,Serious,1,"1 veh, no dvr fault",Unknown
1,201000113,Driver,Male, 29,Not injured,1,">1 party, dvr prime fault",Asian
1,201000114,Driver,Male, 59,Not injured,1,"1 veh, dvr at fault",NZ Maori
1,201000114,Passenger,Male, 22,Fatal,1,"1 veh, dvr at fault",Other Pacific Islander
1,201000115,Driver,Male, 34,Fatal,1,"1 veh, dvr at fault",European
1,201000116,Driver,Male, 57,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000117,Driver,Male, 46,Fatal,1,"1 veh, dvr at fault",European
1,201000118,Driver,Male, 24,Fatal,1,">1 party, dvr part fault",European
1,201000118,Driver,Male, 24,Not injured,2,">1 party, dvr prime fault",European
1,201000119,Driver,Female, 18,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000119,Driver,Male, 50,Serious,2,">1 party, no dvr fault",European
1,201000119,Passenger,Female, 18,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000119,Passenger,Male, 18,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000120,Driver,Unknown,,Not injured,1,,Unknown
1,201000121,Driver,Male, 29,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000122,Driver,Male, 32,Fatal,1,"1 veh, dvr at fault",European
1,201000123,Driver,Female, 43,Not injured,2,">1 party, dvr prime fault",European
1,201000123,Driver,Male, 29,Fatal,1,">1 party, dvr part fault",NZ Maori
1,201000123,Passenger,Male, 11,Serious,2,">1 party, dvr prime fault",European
1,201000124,Driver,Male, 20,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Female, 19,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Female, 20,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Male, 20,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Male, 26,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000125,Driver,Male, 19,Not injured,1,">1 party, no dvr fault",Samoan
1,201000126,Driver,Male, 23,Fatal,1,">1 party, dvr prime fault",European
1,201000126,Driver,Male, 44,Not injured,2,">1 party, no dvr fault",European
1,201000127,Driver,Female, 50,Not injured,2,">1 party, no dvr fault",European
1,201000127,Driver,Male, 20,Fatal,1,">1 party, dvr prime fault",European
1,201000128,Driver,Male, 63,Not injured,2,">1 party, no dvr fault",European
1,201000128,Driver,Male, 87,Fatal,1,">1 party, dvr prime fault",European
1,201000129,Driver,Female, 39,Not injured,1,">1 party, no dvr fault",European
1,201000130,Driver,Male, 21,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000130,Passenger,Male, 25,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000131,Driver,Male, 78,Fatal,1,"1 veh, dvr at fault",European
1,201000132,Driver,Male, 38,Serious,1,">1 party, dvr prime fault",Other
1,201000132,Driver,Male, 60,Fatal,2,">1 party, dvr part fault",Asian
1,201000133,Driver,Female, 52,Fatal,1,">1 party, dvr prime fault",European
1,201000133,Driver,Male, 61,Minor,2,">1 party, no dvr fault",European
1,201000133,Passenger,Female, 32,Serious,1,">1 party, dvr prime fault",European
1,201000133,Passenger,Male,,Minor,2,">1 party, no dvr fault",Unknown
1,201000134,Driver,Female, 31,Serious,2,">1 party, dvr part fault",European
1,201000134,Driver,Male, 47,Fatal,1,">1 party, dvr prime fault",European
1,201000134,Passenger,Female,  1,Minor,2,">1 party, dvr part fault",European
1,201000135,Driver,Male, 17,Serious,1,"1 veh, dvr at fault",Samoan
1,201000135,Passenger,Female, 17,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000135,Passenger,Male, 18,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000136,Driver,Male,,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000136,Passenger,Male, 49,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000136,Passenger,Male, 52,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000137,Driver,Male, 57,Not injured,1,">1 party, no dvr fault",European
1,201000138,Driver,Female, 30,Serious,1,">1 party, dvr prime fault",European
1,201000138,Driver,Female, 47,Minor,2,">1 party, no dvr fault",European
1,201000138,Passenger,Female, 14,Minor,2,">1 party, no dvr fault",European
1,201000138,Passenger,Female, 53,Minor,2,">1 party, no dvr fault",European
1,201000138,Passenger,Male, 14,Minor,2,">1 party, no dvr fault",European
