"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"ELEVENTH AVENUE","5","E","CAMERON ROAD","2843184","24/10/2008","Fri","1920","CAR1 EBD on ELEVENTH AVENUE hit rear end of CAR2 stop/slow for cross traffic","CAR1 failed to notice car slowing  ENV: entering or leaving take away foods","Dry","Twilight","Fine","Driveway","Traffic Signal","0","0","0","1878545","5822950",
"ELEVENTH AVENUE","50","E","CAMERON ROAD","201138278","28/10/2011","Fri","1030","CAR1 WBD on ELEVENTH AVENUE hit CAR2 angle parking","CAR2 didnt see/look behind when reversing/manoeuvering","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1878584","5822928",
"ELEVENTH AVENUE","50","E","CAMERON ROAD","201031574","09/02/2010","Tue","1500","CAR2 WBD on ELEVENTH AVENUE opened door into path of another party, VAN1 hit Parked Vehicle","CAR2 opened door inadvertently","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1878584","5822928",
"ELEVENTH AVENUE","5","W","CAMERON ROAD","2831326","31/01/2008","Thu","1909","CAR1 WBD on ELEVENTH AVENUE hit rear end of CAR2 stop/slow for queue","CAR1 following too closely, failed to notice car slowing","Dry","Overcast","Fine","X Type Junction","Give Way Sign","0","0","0","1878536","5822956",
"ELEVENTH AVENUE","20","W","CAMERON ROAD","201031287","04/03/2010","Thu","1220","CAR1 WBD on ELEVENTH AVENUE hit CAR2 manoeuvring","CAR1 didnt see/look behind when reversing/manoeuvering  ENV: entering or leaving take away foods","Dry","Overcast","Fine","Driveway","N/A","0","0","0","1878524","5822963",
"ELEVENTH AVENUE","20","W","CAMERON ROAD","201004904","15/09/2010","Wed","1420","CAR2 turning right hit by oncoming MOTOR CYCLE1 EBD on ELEVENTH AVENUE ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction  ENV: entering or leaving take away foods","Dry","Bright Sun","Fine","Driveway","N/A","0","0","1","1878523","5822963",
"ELEVENTH AVENUE","20","W","CAMERON ROAD","201102678","10/05/2011","Tue","1610","CAR2 turning right hit by oncoming CAR1 EBD on ELEVENTH AVENUE ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when visibility obstructed by other vehicles  ENV: entering or leaving service station","Dry","Bright Sun","Fine","Driveway","N/A","0","0","2","1878523","5822963",
"ELEVENTH AVENUE","20","W","CAMERON ROAD","201136522","17/08/2011","Wed","1244","CAR2 turning right hit by oncoming CAR1 EBD on ELEVENTH AVENUE ","CAR2 failed to give way when waved through by other driver, didnt see/look when visibility obstructed by other vehicles  ENV: entering or leaving service station","Dry","Bright Sun","Fine","Driveway","N/A","0","0","0","1878523","5822963",
"ELEVENTH AVENUE","30","W","CAMERON ROAD","201137509","19/08/2011","Fri","2110","CAR1 EBD on ELEVENTH AVENUE hit rear end of CAR2 stop/slow for queue","CAR1 alcohol test above limit or test refused, failed to notice car slowing, attention diverted by cigarette etc","Dry","Dark","Fine","Unknown","N/A","0","0","0","1878515","5822969",
"ELEVENTH AVENUE","30","W","CAMERON ROAD","201006411","24/11/2010","Wed","1000","CAR2 turning right hit by oncoming MOTOR CYCLE1 EBD on ELEVENTH AVENUE ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when visibility obstructed by other vehicles  ENV: entering or leaving service station","Dry","Bright Sun","Fine","Driveway","Nil","0","0","1","1878515","5822969",
