"meshblockID" "urbanRuralGrade" "code" "urbanRural"
2513700 "Main urban area" "A" "urban"
153700 "Main urban area" "A" "urban"
2528905 "Main urban area" "A" "urban"
350000 "Main urban area" "A" "urban"
2513504 "Main urban area" "A" "urban"
228500 "Main urban area" "A" "urban"
2515103 "Main urban area" "A" "urban"
255900 "Main urban area" "A" "urban"
243200 "Main urban area" "A" "urban"
2903700 "Main urban area" "A" "urban"
612100 "Main urban area" "A" "urban"
2908700 "Main urban area" "A" "urban"
1860800 "Independent Urban Area" "B" "urban"
1864000 "Independent Urban Area" "B" "urban"
637300 "Main urban area" "A" "urban"
1858200 "Independent Urban Area" "B" "urban"
1861000 "Independent Urban Area" "B" "urban"
2370100 "Rural area with low urban influence" "F" "rural"
2057503 "Main urban area" "A" "urban"
2285004 "Highly rural/remote area" "G" "rural"
2515108 "Main urban area" "A" "urban"
1909600 "Main urban area" "A" "urban"
2515107 "Main urban area" "A" "urban"
2056613 "Main urban area" "A" "urban"
1909500 "Main urban area" "A" "urban"
1417800 "Main urban area" "A" "urban"
1907900 "Main urban area" "A" "urban"
1417000 "Main urban area" "A" "urban"
1885500 "Main urban area" "A" "urban"
1417500 "Main urban area" "A" "urban"
1421300 "Main urban area" "A" "urban"
1418200 "Main urban area" "A" "urban"
1418000 "Main urban area" "A" "urban"
1417300 "Main urban area" "A" "urban"
94100 "Main urban area" "A" "urban"
1419500 "Area outside urban/rural profile" "Z" NA
143500 "Independent Urban Area" "B" "urban"
154001 "Main urban area" "A" "urban"
1885400 "Main urban area" "A" "urban"
515104 "Satellite Urban Area" "C" "urban"
2057902 "Main urban area" "A" "urban"
421500 "Main urban area" "A" "urban"
2011200 "Main urban area" "A" "urban"
405900 "Main urban area" "A" "urban"
1981700 "Main urban area" "A" "urban"
236827 "Main urban area" "A" "urban"
2090300 "Main urban area" "A" "urban"
632800 "Main urban area" "A" "urban"
2089900 "Main urban area" "A" "urban"
1417600 "Main urban area" "A" "urban"
278509 "Main urban area" "A" "urban"
2104602 "Highly rural/remote area" "G" "rural"
1418100 "Main urban area" "A" "urban"
2325000 "Main urban area" "A" "urban"
1719300 "Main urban area" "A" "urban"
2017002 "Main urban area" "A" "urban"
1698300 "Main urban area" "A" "urban"
